US_State,count_gun_laws
Massachusetts,2434
California,2298
Hawaii,1796
Connecticut,1768
New Jersey,1607
Illinois,1542
New York,1514
Maryland,1314
Rhode Island,1172
Pennsylvania,845
Minnesota,831
North Carolina,696
Washington,686
Delaware,685
Michigan,633
Oregon,607
Wisconsin,596
Nebraska,579
Florida,564
Iowa,554
Tennessee,505
Ohio,485
West Virginia,482
Texas,461
Colorado,456
South Carolina,425
Virginia,355
North Dakota,345
Arkansas,337
Alabama,335
Missouri,328
Arizona,325
Utah,322
Kansas,299
Georgia,287
Indiana,277
Oklahoma,269
Maine,268
New Hampshire,266
Nevada,263
Louisiana,261
New Mexico,260
Wyoming,238
Mississippi,218
Kentucky,186
Alaska,170
Idaho,156
South Dakota,155
Montana,116
Vermont,90
